Epoch: [0] Loss:31.91 Acc:0.00% Norm_l0:721.86 Norm_l1:11.99:   9%|▉         | 9/100 [05:48<58:40, 38.69s/it]
Epoch: [0] Loss:30.04 Acc:0.00% Norm_l0:693.03 Norm_l1:11.98:   9%|▉         | 9/100 [05:41<57:37, 38.00s/it]
Epoch: [0] Loss:27.43 Acc:0.00% Norm_l0:646.36 Norm_l1:11.97:   9%|▉         | 9/100 [05:48<58:42, 38.70s/it]
Epoch: [0] Loss:25.13 Acc:0.00% Norm_l0:624.85 Norm_l1:11.96:   9%|▉         | 9/100 [06:33<1:06:14, 43.67s/it]
Epoch: [0] Loss:23.54 Acc:0.00% Norm_l0:614.76 Norm_l1:11.95:   9%|▉         | 9/100 [05:57<1:00:18, 39.76s/it]
Epoch: [0] Loss:22.20 Acc:0.00% Norm_l0:604.84 Norm_l1:11.95:   9%|▉         | 9/100 [06:29<1:05:42, 43.32s/it]
Epoch: [0] Loss:21.29 Acc:0.00% Norm_l0:597.00 Norm_l1:11.94:   9%|▉         | 9/100 [06:05<1:01:35, 40.61s/it]
Epoch: [0] Loss:20.28 Acc:0.00% Norm_l0:594.22 Norm_l1:11.94:   9%|▉         | 9/100 [07:34<1:16:35, 50.50s/it]
Epoch: [0] Loss:19.50 Acc:0.00% Norm_l0:591.15 Norm_l1:11.94:   9%|▉         | 9/100 [07:15<1:13:20, 48.36s/it]
Epoch: [0] Loss:18.96 Acc:0.00% Norm_l0:588.02 Norm_l1:11.93:   9%|▉         | 9/100 [06:45<1:08:23, 45.09s/it]
Epoch: [0] Loss:17.39 Acc:0.10% Norm_l0:582.99 Norm_l1:11.93:   9%|▉         | 9/100 [06:46<1:08:26, 45.12s/it]
Epoch: [0] Loss:16.79 Acc:0.20% Norm_l0:580.85 Norm_l1:11.92:   9%|▉         | 9/100 [07:27<1:15:21, 49.69s/it]
Epoch: [0] Loss:16.14 Acc:0.10% Norm_l0:582.10 Norm_l1:11.92:   9%|▉         | 9/100 [07:58<1:20:34, 53.13s/it]
Epoch: [0] Loss:15.82 Acc:0.10% Norm_l0:581.84 Norm_l1:11.93:   9%|▉         | 9/100 [07:57<1:20:29, 53.07s/it]
Epoch: [0] Loss:15.90 Acc:0.10% Norm_l0:580.79 Norm_l1:11.92:   9%|▉         | 9/100 [06:39<1:07:15, 44.35s/it]
Epoch: [0] Loss:15.70 Acc:0.10% Norm_l0:581.91 Norm_l1:11.92:   9%|▉         | 9/100 [06:16<1:03:23, 41.80s/it]
Epoch: [0] Loss:15.59 Acc:0.20% Norm_l0:580.50 Norm_l1:11.92:   9%|▉         | 9/100 [06:45<1:08:21, 45.07s/it]
Epoch: [0] Loss:15.60 Acc:0.10% Norm_l0:581.41 Norm_l1:11.92:   9%|▉         | 9/100 [06:02<1:01:07, 40.31s/it]
